Food_A,Food_B,Food_C,Type,Reason,Impact
Chicken,Orange,Carrot,DEPENDS,Context based,neutral
Broccoli,Chicken,Chickpeas,DEPENDS,Context based,neutral
Tomato,Egg,Almonds,DEPENDS,Context based,neutral
Carrot,Lemon,Almonds,GOOD,Vitamin A absorption,absorption
Sweet Potato,Chickpeas,Broccoli,GOOD,Stable glucose,metabolic
Peanut Butter,Sweet Potato,Curd,DEPENDS,Context based,neutral
Quinoa,Fish,Broccoli,GOOD,Stable glucose,metabolic
Apple,Apple,Milk,DEPENDS,Context based,neutral
Orange,Dal,Almonds,DEPENDS,Context based,neutral
Lemon,Bajra,Rice,DEPENDS,Context based,neutral
Potato,Chicken,Olive Oil,GOOD,Stable glucose,metabolic
Orange,Banana,Tomato,DEPENDS,Context based,neutral
Lemon,Chickpeas,Ghee,DEPENDS,Context based,neutral
Lemon,Quinoa,Chicken,GOOD,Stable glucose,metabolic
Ragi,Sweet Potato,Jowar,DEPENDS,Context based,neutral
Jowar,Carrot,Curd,DEPENDS,Context based,neutral
Milk,Lemon,Sweet Potato,DEPENDS,Context based,neutral
Sweet Potato,Broccoli,Brown Rice,DEPENDS,Context based,neutral
Dal,Brown Rice,Sweet Potato,GOOD,Stable glucose,metabolic
Banana,Carrot,Almonds,GOOD,Vitamin A absorption,absorption
Orange,Jowar,Sweet Potato,DEPENDS,Context based,neutral
Peanut Butter,Spinach,Chicken,DEPENDS,Context based,neutral
Broccoli,Jowar,Dal,GOOD,Stable glucose,metabolic
Tomato,Carrot,Dal,DEPENDS,Context based,neutral
Ragi,Bajra,Brown Rice,DEPENDS,Context based,neutral
Chicken,Dal,Chicken,DEPENDS,Context based,neutral
Potato,Lemon,Tomato,DEPENDS,Context based,neutral
Tomato,Almonds,Almonds,DEPENDS,Context based,neutral
Spinach,Olive Oil,Carrot,GOOD,Vitamin A absorption,absorption
Jowar,Quinoa,Bajra,DEPENDS,Context based,neutral
Ragi,Paneer,Dal,GOOD,Stable glucose,metabolic
Carrot,Quinoa,Carrot,DEPENDS,Context based,neutral
Almonds,Peanut Butter,Potato,DEPENDS,Context based,neutral
Bajra,Bajra,Fish,GOOD,Stable glucose,metabolic
Ragi,Almonds,Tomato,DEPENDS,Context based,neutral
Jowar,Milk,Almonds,DEPENDS,Context based,neutral
Tomato,Curd,Chicken,DEPENDS,Context based,neutral
Jowar,Spinach,Ragi,DEPENDS,Context based,neutral
Paneer,Olive Oil,Rice,GOOD,Stable glucose,metabolic
Sweet Potato,Lemon,Tomato,DEPENDS,Context based,neutral
Chicken,Curd,Peanut Butter,DEPENDS,Context based,neutral
Lemon,Sweet Potato,Apple,DEPENDS,Context based,neutral
Chickpeas,Carrot,Peanut Butter,GOOD,Vitamin A absorption,absorption
Curd,Ragi,Potato,DEPENDS,Context based,neutral
Broccoli,Potato,Spinach,DEPENDS,Context based,neutral
Tomato,Olive Oil,Sweet Potato,DEPENDS,Context based,neutral
Bajra,Paneer,Quinoa,GOOD,Stable glucose,metabolic
Ragi,Tomato,Peanut Butter,DEPENDS,Context based,neutral
Bajra,Orange,Bajra,DEPENDS,Context based,neutral
Fish,Orange,Broccoli,DEPENDS,Context based,neutral
Egg,Brown Rice,Bajra,GOOD,Stable glucose,metabolic
Fish,Apple,Quinoa,GOOD,Stable glucose,metabolic
Curd,Quinoa,Almonds,DEPENDS,Context based,neutral
Apple,Bajra,Paneer,GOOD,Stable glucose,metabolic
Rice,Bajra,Paneer,GOOD,Stable glucose,metabolic
Almonds,Curd,Jowar,DEPENDS,Context based,neutral
Lemon,Orange,Apple,DEPENDS,Context based,neutral
Broccoli,Olive Oil,Lemon,DEPENDS,Context based,neutral
Ghee,Tomato,Ragi,DEPENDS,Context based,neutral
Brown Rice,Brown Rice,Curd,DEPENDS,Context based,neutral
Ghee,Carrot,Peanut Butter,GOOD,Vitamin A absorption,absorption
Chickpeas,Curd,Bajra,GOOD,Stable glucose,metabolic
Jowar,Egg,Chicken,GOOD,Stable glucose,metabolic
Ghee,Bajra,Ghee,DEPENDS,Context based,neutral
Lemon,Bajra,Bajra,DEPENDS,Context based,neutral
Quinoa,Spinach,Sweet Potato,DEPENDS,Context based,neutral
Tomato,Fish,Peanut Butter,DEPENDS,Context based,neutral
Tomato,Sweet Potato,Brown Rice,DEPENDS,Context based,neutral
Dal,Curd,Tomato,DEPENDS,Context based,neutral
Sweet Potato,Almonds,Banana,BAD,Heavy digestion + sugar spike,metabolic
Sweet Potato,Milk,Quinoa,DEPENDS,Context based,neutral
Chickpeas,Fish,Jowar,GOOD,Stable glucose,metabolic
Sweet Potato,Curd,Tomato,DEPENDS,Context based,neutral
Jowar,Peanut Butter,Peanut Butter,DEPENDS,Context based,neutral
Lemon,Orange,Banana,DEPENDS,Context based,neutral
Ghee,Almonds,Peanut Butter,DEPENDS,Context based,neutral
Olive Oil,Egg,Lemon,DEPENDS,Context based,neutral
Dal,Fish,Orange,DEPENDS,Context based,neutral
Spinach,Quinoa,Carrot,DEPENDS,Context based,neutral
Lemon,Paneer,Spinach,GOOD,Iron absorption boost,absorption
Peanut Butter,Chickpeas,Egg,DEPENDS,Context based,neutral
Fish,Almonds,Orange,DEPENDS,Context based,neutral
Ghee,Spinach,Rice,DEPENDS,Context based,neutral
Orange,Ghee,Spinach,GOOD,Iron absorption boost,absorption
Olive Oil,Brown Rice,Milk,DEPENDS,Context based,neutral
Banana,Tomato,Spinach,GOOD,Iron absorption boost,absorption
Milk,Banana,Curd,DEPENDS,Context based,neutral
Broccoli,Spinach,Spinach,DEPENDS,Context based,neutral
Quinoa,Milk,Chicken,GOOD,Stable glucose,metabolic
Spinach,Chicken,Olive Oil,DEPENDS,Context based,neutral
Paneer,Olive Oil,Lemon,DEPENDS,Context based,neutral
Apple,Paneer,Almonds,DEPENDS,Context based,neutral
Broccoli,Milk,Ragi,DEPENDS,Context based,neutral
Tomato,Apple,Brown Rice,DEPENDS,Context based,neutral
Ghee,Carrot,Egg,GOOD,Vitamin A absorption,absorption
Carrot,Spinach,Chickpeas,DEPENDS,Context based,neutral
Carrot,Milk,Jowar,DEPENDS,Context based,neutral
Ragi,Chickpeas,Chickpeas,GOOD,Stable glucose,metabolic
Olive Oil,Tomato,Apple,DEPENDS,Context based,neutral
Quinoa,Quinoa,Spinach,DEPENDS,Context based,neutral
Chicken,Paneer,Fish,DEPENDS,Context based,neutral
Ragi,Sweet Potato,Paneer,GOOD,Stable glucose,metabolic
Paneer,Egg,Rice,GOOD,Stable glucose,metabolic
Paneer,Jowar,Carrot,GOOD,Stable glucose,metabolic
Olive Oil,Potato,Quinoa,DEPENDS,Context based,neutral
Milk,Curd,Chickpeas,DEPENDS,Context based,neutral
Sweet Potato,Fish,Spinach,GOOD,Stable glucose,metabolic
Orange,Tomato,Tomato,DEPENDS,Context based,neutral
Fish,Bajra,Ragi,GOOD,Stable glucose,metabolic
Olive Oil,Brown Rice,Ragi,DEPENDS,Context based,neutral
Fish,Paneer,Chicken,DEPENDS,Context based,neutral
Carrot,Dal,Peanut Butter,GOOD,Vitamin A absorption,absorption
Chicken,Almonds,Ghee,DEPENDS,Context based,neutral
Apple,Quinoa,Milk,DEPENDS,Context based,neutral
Ghee,Curd,Broccoli,DEPENDS,Context based,neutral
Olive Oil,Ghee,Paneer,DEPENDS,Context based,neutral
Olive Oil,Paneer,Ragi,GOOD,Stable glucose,metabolic
Almonds,Brown Rice,Apple,BAD,Heavy digestion + sugar spike,metabolic
Chickpeas,Tomato,Apple,DEPENDS,Context based,neutral
Lemon,Dal,Olive Oil,DEPENDS,Context based,neutral
Tomato,Bajra,Banana,DEPENDS,Context based,neutral
Almonds,Quinoa,Sweet Potato,DEPENDS,Context based,neutral
Almonds,Chickpeas,Spinach,DEPENDS,Context based,neutral
Peanut Butter,Ghee,Jowar,DEPENDS,Context based,neutral
Jowar,Banana,Chickpeas,GOOD,Stable glucose,metabolic
Quinoa,Potato,Potato,DEPENDS,Context based,neutral
Jowar,Spinach,Dal,GOOD,Stable glucose,metabolic
Ragi,Jowar,Ragi,DEPENDS,Context based,neutral
Dal,Egg,Almonds,DEPENDS,Context based,neutral
Apple,Chicken,Apple,DEPENDS,Context based,neutral
Quinoa,Almonds,Banana,BAD,Heavy digestion + sugar spike,metabolic
Egg,Bajra,Almonds,GOOD,Stable glucose,metabolic
Ghee,Curd,Orange,DEPENDS,Context based,neutral
Paneer,Chickpeas,Ragi,GOOD,Stable glucose,metabolic
Quinoa,Carrot,Paneer,GOOD,Stable glucose,metabolic
Brown Rice,Rice,Olive Oil,DEPENDS,Context based,neutral
Milk,Jowar,Brown Rice,DEPENDS,Context based,neutral
Sweet Potato,Potato,Ghee,DEPENDS,Context based,neutral
Spinach,Broccoli,Curd,BAD,Calcium blocks iron,absorption
Broccoli,Almonds,Paneer,DEPENDS,Context based,neutral
Apple,Almonds,Ragi,BAD,Heavy digestion + sugar spike,metabolic
Olive Oil,Lemon,Rice,DEPENDS,Context based,neutral
Jowar,Spinach,Banana,DEPENDS,Context based,neutral
Fish,Banana,Chicken,DEPENDS,Context based,neutral
Rice,Banana,Brown Rice,DEPENDS,Context based,neutral
Jowar,Peanut Butter,Paneer,GOOD,Stable glucose,metabolic
Ragi,Potato,Orange,DEPENDS,Context based,neutral
Rice,Sweet Potato,Olive Oil,DEPENDS,Context based,neutral
Tomato,Ragi,Curd,DEPENDS,Context based,neutral
Spinach,Sweet Potato,Jowar,DEPENDS,Context based,neutral
Almonds,Potato,Jowar,DEPENDS,Context based,neutral
Lemon,Potato,Dal,GOOD,Stable glucose,metabolic
Banana,Olive Oil,Almonds,DEPENDS,Context based,neutral
Olive Oil,Apple,Jowar,BAD,Heavy digestion + sugar spike,metabolic
Ragi,Apple,Jowar,DEPENDS,Context based,neutral
Spinach,Orange,Spinach,GOOD,Iron absorption boost,absorption
Milk,Almonds,Dal,DEPENDS,Context based,neutral
Peanut Butter,Curd,Tomato,DEPENDS,Context based,neutral
Curd,Peanut Butter,Tomato,DEPENDS,Context based,neutral
Broccoli,Ragi,Peanut Butter,DEPENDS,Context based,neutral
Fish,Fish,Brown Rice,GOOD,Stable glucose,metabolic
Potato,Quinoa,Milk,DEPENDS,Context based,neutral
Orange,Lemon,Potato,DEPENDS,Context based,neutral
Sweet Potato,Spinach,Dal,GOOD,Stable glucose,metabolic
Broccoli,Potato,Ghee,DEPENDS,Context based,neutral
Chickpeas,Banana,Milk,DEPENDS,Context based,neutral
Sweet Potato,Chickpeas,Jowar,GOOD,Stable glucose,metabolic
Almonds,Chickpeas,Brown Rice,GOOD,Stable glucose,metabolic
Ghee,Tomato,Milk,DEPENDS,Context based,neutral
Almonds,Quinoa,Ghee,DEPENDS,Context based,neutral
Dal,Rice,Tomato,GOOD,Stable glucose,metabolic
Tomato,Lemon,Curd,DEPENDS,Context based,neutral
Chicken,Orange,Curd,DEPENDS,Context based,neutral
Rice,Potato,Spinach,DEPENDS,Context based,neutral
Brown Rice,Brown Rice,Almonds,DEPENDS,Context based,neutral
Fish,Sweet Potato,Rice,GOOD,Stable glucose,metabolic
Fish,Chickpeas,Lemon,DEPENDS,Context based,neutral
Egg,Broccoli,Ragi,GOOD,Stable glucose,metabolic
Rice,Ghee,Peanut Butter,DEPENDS,Context based,neutral
Egg,Bajra,Brown Rice,GOOD,Stable glucose,metabolic
Curd,Apple,Spinach,BAD,Calcium blocks iron,absorption
Milk,Ragi,Rice,DEPENDS,Context based,neutral
Ragi,Paneer,Fish,GOOD,Stable glucose,metabolic
Rice,Almonds,Orange,DEPENDS,Context based,neutral
Almonds,Chicken,Curd,DEPENDS,Context based,neutral
Quinoa,Chicken,Broccoli,GOOD,Stable glucose,metabolic
Peanut Butter,Lemon,Spinach,GOOD,Iron absorption boost,absorption
Olive Oil,Curd,Bajra,DEPENDS,Context based,neutral
Peanut Butter,Chickpeas,Banana,DEPENDS,Context based,neutral
Quinoa,Quinoa,Potato,DEPENDS,Context based,neutral
Peanut Butter,Chickpeas,Chickpeas,DEPENDS,Context based,neutral
Lemon,Apple,Tomato,DEPENDS,Context based,neutral
Curd,Almonds,Egg,DEPENDS,Context based,neutral
Bajra,Almonds,Orange,DEPENDS,Context based,neutral
Sweet Potato,Orange,Spinach,GOOD,Iron absorption boost,absorption
Peanut Butter,Paneer,Sweet Potato,GOOD,Stable glucose,metabolic
Almonds,Apple,Ghee,DEPENDS,Context based,neutral
Brown Rice,Curd,Chickpeas,GOOD,Stable glucose,metabolic
Ghee,Curd,Dal,DEPENDS,Context based,neutral
Bajra,Jowar,Paneer,GOOD,Stable glucose,metabolic
Potato,Apple,Olive Oil,BAD,Heavy digestion + sugar spike,metabolic
Chickpeas,Banana,Curd,DEPENDS,Context based,neutral
Orange,Bajra,Bajra,DEPENDS,Context based,neutral
Apple,Orange,Brown Rice,DEPENDS,Context based,neutral
Lemon,Milk,Rice,DEPENDS,Context based,neutral
Fish,Bajra,Quinoa,GOOD,Stable glucose,metabolic
Paneer,Dal,Jowar,GOOD,Stable glucose,metabolic
Potato,Almonds,Ragi,DEPENDS,Context based,neutral
Fish,Rice,Peanut Butter,GOOD,Stable glucose,metabolic
Dal,Lemon,Lemon,DEPENDS,Context based,neutral
Spinach,Paneer,Brown Rice,GOOD,Stable glucose,metabolic
Tomato,Tomato,Potato,DEPENDS,Context based,neutral
Banana,Brown Rice,Orange,DEPENDS,Context based,neutral
Fish,Chickpeas,Olive Oil,DEPENDS,Context based,neutral
Ragi,Quinoa,Carrot,DEPENDS,Context based,neutral
Spinach,Olive Oil,Ragi,DEPENDS,Context based,neutral
Ragi,Banana,Apple,DEPENDS,Context based,neutral
Milk,Chickpeas,Apple,DEPENDS,Context based,neutral
Chickpeas,Ghee,Carrot,GOOD,Vitamin A absorption,absorption
Olive Oil,Jowar,Bajra,DEPENDS,Context based,neutral
Orange,Ragi,Lemon,DEPENDS,Context based,neutral
Almonds,Lemon,Ragi,DEPENDS,Context based,neutral
Jowar,Quinoa,Apple,DEPENDS,Context based,neutral
Ghee,Egg,Ragi,GOOD,Stable glucose,metabolic
Ghee,Orange,Orange,DEPENDS,Context based,neutral
Apple,Dal,Peanut Butter,DEPENDS,Context based,neutral
Paneer,Orange,Almonds,DEPENDS,Context based,neutral
Peanut Butter,Orange,Ghee,DEPENDS,Context based,neutral
Tomato,Almonds,Banana,DEPENDS,Context based,neutral
Rice,Orange,Almonds,DEPENDS,Context based,neutral
Bajra,Curd,Dal,GOOD,Stable glucose,metabolic
Peanut Butter,Chicken,Dal,DEPENDS,Context based,neutral
Curd,Banana,Brown Rice,DEPENDS,Context based,neutral
Ghee,Brown Rice,Sweet Potato,DEPENDS,Context based,neutral
Paneer,Ghee,Orange,DEPENDS,Context based,neutral
Apple,Jowar,Bajra,DEPENDS,Context based,neutral
Rice,Tomato,Paneer,GOOD,Stable glucose,metabolic
Rice,Jowar,Orange,DEPENDS,Context based,neutral
Egg,Milk,Almonds,DEPENDS,Context based,neutral
Lemon,Ghee,Banana,DEPENDS,Context based,neutral
Chicken,Quinoa,Jowar,GOOD,Stable glucose,metabolic
Broccoli,Paneer,Paneer,DEPENDS,Context based,neutral
Egg,Chicken,Fish,DEPENDS,Context based,neutral
Ragi,Ragi,Potato,DEPENDS,Context based,neutral
Potato,Peanut Butter,Orange,DEPENDS,Context based,neutral
Broccoli,Paneer,Carrot,DEPENDS,Context based,neutral
Tomato,Ragi,Rice,DEPENDS,Context based,neutral
Bajra,Orange,Peanut Butter,DEPENDS,Context based,neutral
Chickpeas,Banana,Bajra,GOOD,Stable glucose,metabolic
Tomato,Chickpeas,Banana,DEPENDS,Context based,neutral
Ragi,Chickpeas,Broccoli,GOOD,Stable glucose,metabolic
Spinach,Orange,Broccoli,GOOD,Iron absorption boost,absorption
Egg,Chicken,Banana,DEPENDS,Context based,neutral
Milk,Almonds,Carrot,GOOD,Vitamin A absorption,absorption
Brown Rice,Jowar,Orange,DEPENDS,Context based,neutral
Ghee,Bajra,Chicken,GOOD,Stable glucose,metabolic
Peanut Butter,Fish,Peanut Butter,DEPENDS,Context based,neutral
Ghee,Sweet Potato,Apple,BAD,Heavy digestion + sugar spike,metabolic
Egg,Milk,Bajra,GOOD,Stable glucose,metabolic
Orange,Potato,Olive Oil,DEPENDS,Context based,neutral
Rice,Spinach,Paneer,GOOD,Stable glucose,metabolic
Sweet Potato,Rice,Dal,GOOD,Stable glucose,metabolic
Chicken,Curd,Banana,DEPENDS,Context based,neutral
Tomato,Chicken,Banana,DEPENDS,Context based,neutral
Sweet Potato,Potato,Orange,DEPENDS,Context based,neutral
Jowar,Ghee,Curd,DEPENDS,Context based,neutral
Peanut Butter,Paneer,Carrot,GOOD,Vitamin A absorption,absorption
Orange,Almonds,Fish,DEPENDS,Context based,neutral
Potato,Peanut Butter,Curd,DEPENDS,Context based,neutral
Brown Rice,Jowar,Spinach,DEPENDS,Context based,neutral
Potato,Potato,Almonds,DEPENDS,Context based,neutral
Apple,Peanut Butter,Banana,DEPENDS,Context based,neutral
Paneer,Ghee,Carrot,GOOD,Vitamin A absorption,absorption
Curd,Paneer,Bajra,GOOD,Stable glucose,metabolic
Fish,Sweet Potato,Ghee,GOOD,Stable glucose,metabolic
Milk,Carrot,Quinoa,DEPENDS,Context based,neutral
Ghee,Almonds,Orange,DEPENDS,Context based,neutral
Broccoli,Fish,Lemon,DEPENDS,Context based,neutral
Apple,Ghee,Sweet Potato,BAD,Heavy digestion + sugar spike,metabolic
Sweet Potato,Egg,Jowar,GOOD,Stable glucose,metabolic
Egg,Apple,Bajra,GOOD,Stable glucose,metabolic
Quinoa,Orange,Chicken,GOOD,Stable glucose,metabolic
Brown Rice,Tomato,Ragi,DEPENDS,Context based,neutral
Peanut Butter,Orange,Almonds,DEPENDS,Context based,neutral
Tomato,Almonds,Chickpeas,DEPENDS,Context based,neutral
Brown Rice,Peanut Butter,Potato,DEPENDS,Context based,neutral
Ghee,Dal,Almonds,DEPENDS,Context based,neutral
Paneer,Spinach,Almonds,DEPENDS,Context based,neutral
Broccoli,Rice,Chicken,GOOD,Stable glucose,metabolic
Ghee,Bajra,Lemon,DEPENDS,Context based,neutral
Curd,Lemon,Tomato,DEPENDS,Context based,neutral
Paneer,Dal,Bajra,GOOD,Stable glucose,metabolic
Tomato,Chickpeas,Chicken,DEPENDS,Context based,neutral
Peanut Butter,Quinoa,Ghee,DEPENDS,Context based,neutral
Orange,Dal,Quinoa,GOOD,Stable glucose,metabolic
Olive Oil,Olive Oil,Ghee,DEPENDS,Context based,neutral
Milk,Carrot,Tomato,DEPENDS,Context based,neutral
Peanut Butter,Peanut Butter,Apple,DEPENDS,Context based,neutral
Egg,Ghee,Milk,DEPENDS,Context based,neutral
Fish,Apple,Chickpeas,DEPENDS,Context based,neutral
Orange,Milk,Dal,DEPENDS,Context based,neutral
Ghee,Lemon,Spinach,GOOD,Iron absorption boost,absorption
Brown Rice,Ghee,Orange,DEPENDS,Context based,neutral
Curd,Fish,Potato,GOOD,Stable glucose,metabolic
Milk,Apple,Egg,DEPENDS,Context based,neutral
Chickpeas,Quinoa,Bajra,GOOD,Stable glucose,metabolic
Sweet Potato,Potato,Orange,DEPENDS,Context based,neutral
Chickpeas,Sweet Potato,Potato,GOOD,Stable glucose,metabolic
Brown Rice,Rice,Jowar,DEPENDS,Context based,neutral
Quinoa,Dal,Lemon,GOOD,Stable glucose,metabolic
Banana,Lemon,Carrot,DEPENDS,Context based,neutral
Apple,Quinoa,Chickpeas,GOOD,Stable glucose,metabolic
Orange,Carrot,Almonds,GOOD,Vitamin A absorption,absorption
Quinoa,Orange,Rice,DEPENDS,Context based,neutral
Jowar,Curd,Brown Rice,DEPENDS,Context based,neutral
Quinoa,Paneer,Carrot,GOOD,Stable glucose,metabolic
Chicken,Rice,Chickpeas,GOOD,Stable glucose,metabolic
Lemon,Chickpeas,Potato,GOOD,Stable glucose,metabolic
Ghee,Milk,Spinach,BAD,Calcium blocks iron,absorption
Sweet Potato,Brown Rice,Sweet Potato,DEPENDS,Context based,neutral
Sweet Potato,Peanut Butter,Brown Rice,DEPENDS,Context based,neutral
Spinach,Fish,Paneer,DEPENDS,Context based,neutral
Fish,Rice,Olive Oil,GOOD,Stable glucose,metabolic
Ragi,Apple,Quinoa,DEPENDS,Context based,neutral
Broccoli,Paneer,Jowar,GOOD,Stable glucose,metabolic
Paneer,Peanut Butter,Paneer,DEPENDS,Context based,neutral
Chicken,Dal,Brown Rice,GOOD,Stable glucose,metabolic
Lemon,Ghee,Carrot,GOOD,Vitamin A absorption,absorption
Banana,Tomato,Peanut Butter,DEPENDS,Context based,neutral
Brown Rice,Apple,Bajra,DEPENDS,Context based,neutral
Lemon,Ragi,Broccoli,DEPENDS,Context based,neutral
Dal,Brown Rice,Dal,GOOD,Stable glucose,metabolic
Tomato,Ghee,Tomato,DEPENDS,Context based,neutral
Chicken,Broccoli,Chickpeas,DEPENDS,Context based,neutral
Broccoli,Lemon,Quinoa,DEPENDS,Context based,neutral
Chicken,Carrot,Fish,DEPENDS,Context based,neutral
Spinach,Broccoli,Bajra,DEPENDS,Context based,neutral
Lemon,Almonds,Chickpeas,DEPENDS,Context based,neutral
Chickpeas,Carrot,Curd,DEPENDS,Context based,neutral
Spinach,Curd,Bajra,BAD,Calcium blocks iron,absorption
Potato,Ghee,Jowar,DEPENDS,Context based,neutral
Jowar,Paneer,Bajra,GOOD,Stable glucose,metabolic
Bajra,Peanut Butter,Apple,BAD,Heavy digestion + sugar spike,metabolic
Ragi,Peanut Butter,Peanut Butter,DEPENDS,Context based,neutral
Olive Oil,Rice,Paneer,GOOD,Stable glucose,metabolic
Ghee,Chicken,Chicken,DEPENDS,Context based,neutral
Ragi,Quinoa,Chicken,GOOD,Stable glucose,metabolic
Chicken,Rice,Ragi,GOOD,Stable glucose,metabolic
Dal,Tomato,Almonds,DEPENDS,Context based,neutral
Dal,Ghee,Chickpeas,DEPENDS,Context based,neutral
Chickpeas,Almonds,Chicken,DEPENDS,Context based,neutral
Banana,Ghee,Orange,DEPENDS,Context based,neutral
Olive Oil,Rice,Lemon,DEPENDS,Context based,neutral
Almonds,Tomato,Sweet Potato,DEPENDS,Context based,neutral
Brown Rice,Apple,Lemon,DEPENDS,Context based,neutral
Paneer,Banana,Ghee,DEPENDS,Context based,neutral
Carrot,Carrot,Carrot,DEPENDS,Context based,neutral
Almonds,Lemon,Rice,DEPENDS,Context based,neutral
Orange,Bajra,Spinach,GOOD,Iron absorption boost,absorption
Bajra,Bajra,Tomato,DEPENDS,Context based,neutral
Banana,Olive Oil,Almonds,DEPENDS,Context based,neutral
Tomato,Spinach,Egg,GOOD,Iron absorption boost,absorption
Ghee,Fish,Jowar,GOOD,Stable glucose,metabolic
Ragi,Egg,Paneer,GOOD,Stable glucose,metabolic
Sweet Potato,Olive Oil,Egg,GOOD,Stable glucose,metabolic
Olive Oil,Sweet Potato,Peanut Butter,DEPENDS,Context based,neutral
Milk,Paneer,Olive Oil,DEPENDS,Context based,neutral
Peanut Butter,Potato,Egg,GOOD,Stable glucose,metabolic
Curd,Lemon,Carrot,DEPENDS,Context based,neutral
Dal,Egg,Paneer,DEPENDS,Context based,neutral
Chickpeas,Jowar,Curd,GOOD,Stable glucose,metabolic
Paneer,Paneer,Chickpeas,DEPENDS,Context based,neutral
Carrot,Carrot,Potato,DEPENDS,Context based,neutral
Almonds,Potato,Chickpeas,GOOD,Stable glucose,metabolic
Dal,Broccoli,Peanut Butter,DEPENDS,Context based,neutral
Curd,Ragi,Milk,DEPENDS,Context based,neutral
Ghee,Chicken,Rice,GOOD,Stable glucose,metabolic
Lemon,Sweet Potato,Paneer,GOOD,Stable glucose,metabolic
Dal,Paneer,Fish,DEPENDS,Context based,neutral
Milk,Peanut Butter,Banana,DEPENDS,Context based,neutral
Tomato,Paneer,Chickpeas,DEPENDS,Context based,neutral
Brown Rice,Quinoa,Lemon,DEPENDS,Context based,neutral
Banana,Jowar,Potato,DEPENDS,Context based,neutral
Bajra,Milk,Bajra,DEPENDS,Context based,neutral
Broccoli,Ragi,Chicken,GOOD,Stable glucose,metabolic
Dal,Orange,Almonds,DEPENDS,Context based,neutral
Ghee,Curd,Carrot,GOOD,Vitamin A absorption,absorption
Ragi,Quinoa,Milk,DEPENDS,Context based,neutral
Spinach,Almonds,Peanut Butter,DEPENDS,Context based,neutral
Ghee,Dal,Orange,DEPENDS,Context based,neutral
Sweet Potato,Ghee,Sweet Potato,DEPENDS,Context based,neutral
Olive Oil,Carrot,Banana,GOOD,Vitamin A absorption,absorption
Bajra,Lemon,Chicken,GOOD,Stable glucose,metabolic
Lemon,Peanut Butter,Spinach,GOOD,Iron absorption boost,absorption
Paneer,Jowar,Paneer,GOOD,Stable glucose,metabolic
Olive Oil,Potato,Peanut Butter,DEPENDS,Context based,neutral
Orange,Banana,Banana,DEPENDS,Context based,neutral
Curd,Broccoli,Potato,DEPENDS,Context based,neutral
Milk,Paneer,Peanut Butter,DEPENDS,Context based,neutral
Sweet Potato,Milk,Bajra,DEPENDS,Context based,neutral
Almonds,Apple,Potato,BAD,Heavy digestion + sugar spike,metabolic
Spinach,Ragi,Chickpeas,GOOD,Stable glucose,metabolic
Carrot,Carrot,Potato,DEPENDS,Context based,neutral
Curd,Peanut Butter,Milk,DEPENDS,Context based,neutral
Sweet Potato,Egg,Tomato,GOOD,Stable glucose,metabolic
Spinach,Quinoa,Almonds,DEPENDS,Context based,neutral
Carrot,Sweet Potato,Tomato,DEPENDS,Context based,neutral
Broccoli,Potato,Ragi,DEPENDS,Context based,neutral
Ragi,Chicken,Brown Rice,GOOD,Stable glucose,metabolic
Brown Rice,Banana,Dal,GOOD,Stable glucose,metabolic
Bajra,Ragi,Paneer,GOOD,Stable glucose,metabolic
Jowar,Brown Rice,Rice,DEPENDS,Context based,neutral
Egg,Rice,Carrot,GOOD,Stable glucose,metabolic
Rice,Fish,Ghee,GOOD,Stable glucose,metabolic
Almonds,Tomato,Peanut Butter,DEPENDS,Context based,neutral
Sweet Potato,Broccoli,Ghee,DEPENDS,Context based,neutral
Rice,Ghee,Broccoli,DEPENDS,Context based,neutral
Tomato,Fish,Rice,GOOD,Stable glucose,metabolic
Quinoa,Almonds,Quinoa,DEPENDS,Context based,neutral
Ragi,Egg,Apple,GOOD,Stable glucose,metabolic
Apple,Quinoa,Brown Rice,DEPENDS,Context based,neutral
Lemon,Carrot,Peanut Butter,GOOD,Vitamin A absorption,absorption
Dal,Curd,Brown Rice,GOOD,Stable glucose,metabolic
Almonds,Paneer,Potato,GOOD,Stable glucose,metabolic
Potato,Rice,Quinoa,DEPENDS,Context based,neutral
Olive Oil,Curd,Dal,DEPENDS,Context based,neutral
Rice,Chicken,Fish,GOOD,Stable glucose,metabolic
Apple,Orange,Olive Oil,DEPENDS,Context based,neutral
Lemon,Curd,Jowar,DEPENDS,Context based,neutral
Chickpeas,Almonds,Fish,DEPENDS,Context based,neutral
Carrot,Egg,Peanut Butter,GOOD,Vitamin A absorption,absorption
Ragi,Milk,Sweet Potato,DEPENDS,Context based,neutral
Spinach,Rice,Ragi,DEPENDS,Context based,neutral
Banana,Banana,Potato,DEPENDS,Context based,neutral
Orange,Peanut Butter,Lemon,DEPENDS,Context based,neutral
Quinoa,Potato,Ghee,DEPENDS,Context based,neutral
Brown Rice,Broccoli,Ghee,DEPENDS,Context based,neutral
Fish,Sweet Potato,Carrot,GOOD,Stable glucose,metabolic
Orange,Broccoli,Rice,DEPENDS,Context based,neutral
Peanut Butter,Jowar,Bajra,DEPENDS,Context based,neutral
Olive Oil,Bajra,Rice,DEPENDS,Context based,neutral
Broccoli,Banana,Rice,DEPENDS,Context based,neutral
Fish,Jowar,Bajra,GOOD,Stable glucose,metabolic
